p_raw,p_cal,attack
0.996755,0.885989,A14
0.000102,3e-06,A17
0.045852,0.001214,A19
0.000583,1.5e-05,A18
0.999913,0.996062,A08
0.999061,0.964194,A07
1.9e-05,3e-06,none
1.0,0.996062,A14
1.0,0.996062,A14
0.999722,0.989139,A14
0.000527,1.3e-05,A17
0.897066,0.180649,A19
1.0,0.996062,A16
0.987335,0.663558,A16
1.0,0.996062,A12
0.211668,0.006747,A16
1.0,0.996062,A09
0.994963,0.833266,A11
0.198438,0.006224,A18
0.001165,3e-05,A18
1.0,0.996062,A09
6e-06,3e-06,none
1.2e-05,3e-06,none
1.0,0.996062,A14
1.0,0.996062,A08
0.999957,0.996062,A14
0.999917,0.996062,A15
8.6e-05,3e-06,A19
0.000168,4e-06,A17
1.0,0.996062,A12
0.3376,0.01273,A15
0.999098,0.965533,A10
9e-05,3e-06,A19
0.620731,0.039759,A18
0.998221,0.934174,A13
0.038033,0.000999,A18
0.999781,0.991405,A08
5e-05,3e-06,none
1.0,0.996062,A12
0.99997,0.996062,A14
0.989153,0.697623,A16
1.0,0.996062,A09
0.999913,0.996062,A16
0.998972,0.960903,A16
0.999961,0.996062,A14
0.998967,0.960737,A08
0.993264,0.788592,A13
0.999892,0.995767,A10
1.0,0.996062,A12
0.999991,0.996062,A11
1e-05,3e-06,none
0.000244,6e-06,A19
1.0,0.996062,A09
0.998246,0.93506,A11
0.999005,0.96211,A10
0.963799,0.402464,A10
0.992612,0.772669,A10
0.996422,0.875702,A16
1.4e-05,3e-06,none
0.995716,0.854665,A15
0.999377,0.975954,A13
0.999999,0.996062,A16
0.999979,0.996062,A07
0.999998,0.996062,A12
1.0,0.996062,A12
0.999755,0.99041,A07
0.999995,0.996062,A11
0.981157,0.568459,A15
0.993719,0.800091,A15
0.047856,0.00127,A19
0.999398,0.976757,A11
1.0,0.996062,A09
0.000116,3e-06,A17
0.999998,0.996062,A13
1.0,0.996062,A09
0.960524,0.381021,A13
0.193115,0.006018,A19
1.0,0.996062,A09
0.999836,0.993562,A13
0.999796,0.991989,A07
0.99987,0.994889,A07
0.999917,0.996062,A11
0.999771,0.991039,A16
0.000106,3e-06,none
0.990469,0.724445,A15
0.642136,0.043424,A19
0.999869,0.994861,A07
0.992198,0.76288,A15
0.049298,0.00131,A17
0.475221,0.022397,A19
0.999979,0.996062,A07
0.997686,0.916025,A08
0.999994,0.996062,A12
0.996312,0.87235,A13
0.999202,0.969392,A14
0.99952,0.981378,A08
0.999872,0.994969,A07
0.997681,0.915866,A15
0.999501,0.980647,A11
0.999799,0.992133,A07
0.999999,0.996062,A13
0.999631,0.985616,A16
1.0,0.996062,A16
0.999836,0.993562,A17
0.999999,0.996062,A13
0.999921,0.996062,A14
0.999999,0.996062,A16
0.999961,0.996062,A14
0.999998,0.996062,A12
0.000174,4e-06,none
0.998318,0.937572,A07
0.999994,0.996062,A14
0.999978,0.996062,A16
0.991465,0.746115,A15
0.999611,0.984863,A08
0.376376,0.015039,A18
0.999774,0.991145,A10
0.001178,3e-05,none
1.0,0.996062,A12
0.999939,0.996062,A14
0.997132,0.897925,A14
0.381532,0.015367,A16
0.998908,0.958593,A13
0.997172,0.899201,A14
0.00216,5.5e-05,none
0.999536,0.981965,A11
0.001069,2.7e-05,none
0.994943,0.832699,A16
0.996822,0.888092,A16
0.999999,0.996062,A13
0.000806,2e-05,A18
0.000209,5e-06,none
0.999752,0.99028,A07
0.186262,0.005757,A18
0.999321,0.97384,A16
0.999971,0.996062,A10
0.996576,0.880427,A10
0.999894,0.995837,A10
0.999745,0.990026,A10
0.999989,0.996062,A13
0.999856,0.994344,A10
0.990057,0.715836,A08
0.000164,4e-06,none
0.010082,0.000258,A08
0.999276,0.972149,A08
0.000308,8e-06,A17
4.1e-05,3e-06,none
0.011516,0.000295,A17
1.0,0.996062,A12
0.999516,0.98121,A14
1.0,0.996062,A12
0.999886,0.995496,A15
0.999942,0.996062,A12
0.999987,0.996062,A13
0.99846,0.942543,A08
0.998454,0.942333,A08
0.893191,0.174619,A16
0.99984,0.993697,A15
0.999947,0.996062,A08
5.3e-05,3e-06,A17
0.000421,1.1e-05,A17
0.999838,0.993631,A11
0.000816,2.1e-05,A17
0.998871,0.957226,A14
0.999961,0.996062,A07
0.999498,0.980539,A10
0.999781,0.991428,A11
9e-06,3e-06,none
0.999958,0.996062,A15
0.999806,0.992397,A11
0.999537,0.982005,A14
0.99891,0.95865,A15
0.000398,1e-05,none
1e-06,3e-06,none
1.0,0.996062,A09
0.999955,0.996062,A10
0.999993,0.996062,A16
4e-06,3e-06,none
0.999942,0.996062,A07
1.0,0.996062,A09
2.9e-05,3e-06,A17
0.001195,3e-05,none
0.999983,0.996062,A08
0.999955,0.996062,A11
0.998719,0.951759,A13
0.975679,0.503696,A18
0.000551,1.4e-05,A19
1.3e-05,3e-06,A17
1.0,0.996062,A12
0.994209,0.812843,A13
0.00014,4e-06,A17
0.148379,0.004388,A18
0.99998,0.996062,A12
0.003215,8.2e-05,none
0.999998,0.996062,A11
0.006916,0.000176,A18
0.001755,4.4e-05,none
0.998668,0.949909,A10
0.987288,0.662721,A16
0.999792,0.99185,A10
0.004306,0.000109,A18
0.984012,0.608922,A10
1.0,0.996062,A09
0.999999,0.996062,A16
1.0,0.996062,A12
0.999111,0.966006,A13
0.999999,0.996062,A09
0.999439,0.978292,A15
0.999094,0.965392,A10
0.70642,0.057381,A18
0.950731,0.328039,A10
1.0,0.996062,A13
0.999002,0.962022,A07
0.996923,0.891273,A11
0.999309,0.973393,A10
1.0,0.996062,A09
1.0,0.996062,A14
0.048883,0.001299,A18
1.0,0.996062,A09
0.00519,0.000132,none
0.999774,0.991141,A11
0.999854,0.994251,A11
1.0,0.996062,A09
1.0,0.996062,A09
1.0,0.996062,A16
0.861234,0.135706,A17
0.999997,0.996062,A14
0.003511,8.9e-05,A17
0.022394,0.000579,A18
0.999972,0.996062,A12
1e-05,3e-06,A17
1.0,0.996062,A12
0.953539,0.341767,A16
0.888915,0.168361,A10
0.999197,0.969219,A12
0.323178,0.011936,A07
0.999998,0.996062,A14
0.361368,0.014113,A18
0.064454,0.00174,A08
1.0,0.996062,A12
7e-06,3e-06,none
0.998086,0.929527,A16
0.997722,0.917212,A07
0.999458,0.979028,A11
0.938776,0.279497,A16
0.999963,0.996062,A10
0.99408,0.809453,A19
0.999998,0.996062,A14
0.999869,0.994838,A10
0.999985,0.996062,A11
1.0,0.996062,A09
0.290055,0.01023,A17
0.990688,0.729111,A07
0.006867,0.000175,A19
0.003779,9.6e-05,none
0.001738,4.4e-05,A17
0.999286,0.972542,A16
0.996168,0.868011,A16
7e-06,3e-06,none
0.934087,0.263906,A08
0.000179,5e-06,A17
0.997984,0.926057,A16
1.9e-05,3e-06,none
0.998197,0.93337,A10
0.999867,0.994773,A15
0.996913,0.890939,A16
0.999904,0.996062,A16
0.000319,8e-06,A19
0.029959,0.000781,A19
1.2e-05,3e-06,none
0.991927,0.756608,A19
3.3e-05,3e-06,none
0.998173,0.932548,A08
0.999776,0.991238,A08
1.0,0.996062,A11
0.999126,0.966583,A10
0.99665,0.882717,A10
1.0,0.996062,A09
0.99862,0.948203,A07
0.999997,0.996062,A14
0.999999,0.996062,A12
0.000216,5e-06,none
0.99999,0.996062,A07
0.997033,0.894756,A13
0.996624,0.881903,A15
0.000542,1.4e-05,none
0.999995,0.996062,A14
1.0,0.996062,A12
0.999995,0.996062,A10
0.008157,0.000208,A17
0.000873,2.2e-05,none
0.999833,0.993455,A15
1.0,0.996062,A16
1.0,0.996062,A12
0.999999,0.996062,A09
0.998682,0.95041,A10
0.999984,0.996062,A11
0.007837,0.0002,none
0.908864,0.201465,A14
1.0,0.996062,A12
7e-05,3e-06,none
1.0,0.996062,A09
1.0,0.996062,A14
3e-06,3e-06,none
0.992725,0.775389,A13
1.0,0.996062,A09
1.0,0.996062,A12
0.996493,0.877864,A13
0.99999,0.996062,A14
0.999771,0.991011,A08
0.995335,0.843704,A07
0.999997,0.996062,A07
1.0,0.996062,A12
0.999137,0.966967,A19
0.000669,1.7e-05,none
0.403791,0.016845,A16
0.999944,0.996062,A16
0.998335,0.938148,A07
0.999829,0.993269,A07
0.999915,0.996062,A11
0.9983,0.93693,A15
0.001749,4.4e-05,A19
0.877476,0.153389,A16
1.0,0.996062,A09
0.999906,0.996062,A10
0.999998,0.996062,A11
0.999989,0.996062,A09
0.997761,0.918534,A07
0.227661,0.007402,A11
0.007312,0.000186,A18
0.000264,7e-06,A17
0.999821,0.992987,A13
0.999954,0.996062,A12
0.999477,0.979743,A07
0.999995,0.996062,A10
1.0,0.996062,A09
0.656671,0.046154,A18
0.999148,0.967402,A18
0.999919,0.996062,A14
1.0,0.996062,A09
0.999531,0.981792,A11
0.999958,0.996062,A07
0.999722,0.989116,A07
0.992904,0.779738,A13
0.99764,0.914498,A13
1.0,0.996062,A13
0.999362,0.975375,A13
0.999954,0.996062,A15
0.003092,7.8e-05,A18
1.0,0.996062,A12
0.604038,0.037159,A17
0.899111,0.18398,A19
0.622487,0.040045,A19
0.999999,0.996062,A14
5.4e-05,3e-06,none
0.98749,0.666327,A15
0.999915,0.996062,A08
1.0,0.996062,A14
0.00108,2.7e-05,A19
0.996222,0.869629,A11
0.995816,0.857566,A11
0.999912,0.996062,A13
0.999525,0.981574,A10
0.999977,0.996062,A10
0.999897,0.995926,A11
0.999106,0.965821,A13
2e-05,3e-06,none
0.989279,0.700106,A13
0.000725,1.8e-05,A18
0.000874,2.2e-05,A17
1.0,0.996062,A14
1.0,0.996062,A09
0.999678,0.987433,A11
0.995934,0.861039,A14
0.999933,0.996062,A07
0.999153,0.967566,A15
0.999976,0.996062,A07
0.99999,0.996062,A10
0.999961,0.996062,A11
0.999475,0.979657,A08
0.999999,0.996062,A12
0.999979,0.996062,A11
0.999899,0.99601,A15
0.998244,0.934998,A11
0.999861,0.994535,A10
0.999802,0.992235,A16
0.999998,0.996062,A16
1.0,0.996062,A09
0.018301,0.000471,A18
0.99999,0.996062,A10
0.999977,0.996062,A16
0.997383,0.906025,A13
0.00087,2.2e-05,none
0.000269,7e-06,A17
0.960104,0.378424,A08
0.986425,0.647681,A13
0.999988,0.996062,A14
0.998988,0.961485,A16
0.999752,0.990285,A08
0.999906,0.996062,A10
0.000538,1.4e-05,A17
0.993678,0.799062,A18
0.999957,0.996062,A15
1.0,0.996062,A13
1.0,0.996062,A13
1.0,0.996062,A12
0.999984,0.996062,A08
1.0,0.996062,A12
1.0,0.996062,A13
0.999996,0.996062,A16
1.0,0.996062,A12
1.0,0.996062,A14
0.999983,0.996062,A16
0.999712,0.988738,A14
0.997914,0.923668,A07
0.268863,0.009217,A18
1e-06,3e-06,none
1.0,0.996062,A13
4e-06,3e-06,none
0.998375,0.939554,A15
2.1e-05,3e-06,none
0.999885,0.995473,A10
0.881852,0.158837,A13
0.998777,0.953845,A13
0.998362,0.939114,A15
0.999979,0.996062,A08
0.996188,0.868602,A13
4.6e-05,3e-06,none
0.0,3e-06,none
0.999964,0.996062,A11
0.999974,0.996062,A11
0.00627,0.00016,A19
2e-06,3e-06,none
1.0,0.996062,A09
0.999998,0.996062,A16
0.999994,0.996062,A14
0.000442,1.1e-05,A17
0.99929,0.972696,A08
0.000378,1e-05,none
0.999997,0.996062,A14
1.0,0.996062,A13
0.999948,0.996062,A16
0.001881,4.8e-05,none
7e-06,3e-06,none
0.000217,6e-06,A18
0.0002,5e-06,A19
8e-05,3e-06,A19
0.996602,0.881239,A13
0.999963,0.996062,A11
0.999975,0.996062,A11
1.0,0.996062,A09
0.999999,0.996062,A07
0.999998,0.996062,A14
0.125918,0.003631,A18
0.999935,0.996062,A08
0.658157,0.046446,A08
1.0,0.996062,A09
0.998089,0.929639,A11
0.78893,0.086391,A16
1.0,0.996062,A14
8.2e-05,3e-06,none
0.999853,0.994237,A12
1.0,0.996062,A16
0.997672,0.915543,A10
1.0,0.996062,A12
0.997781,0.919204,A10
0.00056,1.4e-05,none
1.0,0.996062,A09
2.9e-05,3e-06,none
0.99028,0.720479,A07
0.987973,0.675132,A16
1.0,0.996062,A14
1.0,0.996062,A09
0.07365,0.002007,A17
0.767744,0.077174,A18
0.999298,0.972968,A07
0.999989,0.996062,A08
0.000765,1.9e-05,A18
0.006456,0.000164,none
0.998176,0.932651,A10
3.2e-05,3e-06,A17
0.999722,0.989126,A10
0.999982,0.996062,A14
0.999999,0.996062,A11
0.000218,6e-06,none
0.999967,0.996062,A11
7.3e-05,3e-06,none
0.338413,0.012775,A13
0.997202,0.90015,A11
0.986504,0.649035,A10
0.999966,0.996062,A11
0.999973,0.996062,A11
1.0,0.996062,A09
0.997029,0.894639,A08
0.001548,3.9e-05,none
0.39899,0.016518,A18
1.0,0.996062,A09
0.999962,0.996062,A14
0.999975,0.996062,A14
1e-06,3e-06,none
9e-06,3e-06,A17
1.0,0.996062,A12
0.999938,0.996062,A16
0.787673,0.085799,A19
1.0,0.996062,A16
0.988994,0.694509,A11
1.0,0.996062,A12
0.999861,0.994521,A11
0.999813,0.992653,A13
0.000125,3e-06,A17
3e-06,3e-06,A17
0.996783,0.886859,A07
0.990671,0.728744,A15
0.999925,0.996062,A16
0.99995,0.996062,A11
0.999077,0.964785,A08
0.999992,0.996062,A16
1.0,0.996062,A09
0.496935,0.024381,A08
0.991428,0.745285,A08
0.385977,0.015654,A19
0.000576,1.5e-05,none
1.4e-05,3e-06,none
0.995815,0.857531,A13
0.223242,0.007218,A17
0.999312,0.973518,A16
0.984719,0.619813,A07
0.999943,0.996062,A08
0.999884,0.995417,A08
0.999737,0.989698,A11
1.0,0.996062,A09
0.999936,0.996062,A16
0.999796,0.992012,A10
1.0,0.996062,A14
0.937674,0.275683,A15
0.033312,0.000871,A19
0.028405,0.000739,A19
0.984559,0.617315,A08
0.977283,0.521148,A15
0.997374,0.905743,A19
1.0,0.996062,A09
0.986667,0.651821,A08
0.999983,0.996062,A11
0.321147,0.011827,A18
1.0,0.996062,A13
0.010321,0.000264,none
0.999839,0.993664,A10
0.998861,0.956856,A08
0.999973,0.996062,A07
1.0,0.996062,A12
0.999997,0.996062,A16
0.998503,0.944053,A13
0.990649,0.728274,A19
3e-06,3e-06,A17
8e-05,3e-06,none
0.127702,0.00369,A17
0.001522,3.9e-05,A08
0.99992,0.996062,A08
1.6e-05,3e-06,A19
0.000429,1.1e-05,A18
0.999689,0.987852,A11
0.010464,0.000267,A19
1.0,0.996062,A09
0.999976,0.996062,A07
0.959166,0.372744,A18
0.999556,0.982754,A10
0.000974,2.5e-05,A17
0.999917,0.996062,A14
0.148955,0.004408,none
0.984908,0.622784,A16
0.972067,0.468195,A11
0.000106,3e-06,none
0.999922,0.996062,A11
0.996044,0.864318,A07
0.999978,0.996062,A16
0.999897,0.995964,A12
0.028204,0.000734,A18
1.0,0.996062,A09
0.020223,0.000522,A19
0.008109,0.000207,A19
0.000612,1.5e-05,A19
1.0,0.996062,A09
0.999794,0.99191,A07
0.989978,0.714203,A13
0.00043,1.1e-05,A19
0.974604,0.49261,A13
0.001308,3.3e-05,A18
1e-06,3e-06,A17
0.745544,0.069009,none
0.999988,0.996062,A12
0.000114,3e-06,none
0.736466,0.066031,A19
0.996585,0.880705,A16
0.999999,0.996062,A10
0.997047,0.895187,A08
0.981895,0.578418,A15
0.185948,0.005746,A19
0.999992,0.996062,A11
2.6e-05,3e-06,none
1.0,0.996062,A14
0.999614,0.984971,A16
0.999975,0.996062,A11
0.99758,0.912497,A16
0.989729,0.709115,A16
0.999997,0.996062,A14
0.999988,0.996062,A08
0.999611,0.984854,A16
0.999842,0.993808,A15
0.999996,0.996062,A17
1.0,0.996062,A12
1.0,0.996062,A09
0.999963,0.996062,A11
2e-06,3e-06,A17
2.6e-05,3e-06,none
0.999989,0.996062,A15
0.999084,0.965022,A16
1.0,0.996062,A14
0.998809,0.954974,A14
0.999999,0.996062,A14
0.001449,3.7e-05,A19
1.0,0.996062,A09
0.954376,0.346065,A18
0.999968,0.996062,A11
0.999934,0.996062,A07
1.0,0.996062,A14
0.045339,0.0012,A17
0.001591,4e-05,A18
9e-06,3e-06,none
0.0,3e-06,none
1.0,0.996062,A12
0.002333,5.9e-05,A17
1.0,0.996062,A09
0.000156,4e-06,A18
0.999999,0.996062,A14
0.999865,0.994698,A12
3e-06,3e-06,none
0.001351,3.4e-05,none
1.0,0.996062,A13
0.999026,0.962904,A11
0.967892,0.432668,A13
1e-06,3e-06,A17
0.998718,0.95172,A10
0.999991,0.996062,A11
1.0,0.996062,A12
1.0,0.996062,A12
1.6e-05,3e-06,none
1.0,0.996062,A12
0.000386,1e-05,none
0.995457,0.84718,A16
0.936059,0.270265,A08
0.999619,0.985154,A13
0.999999,0.996062,A12
0.022771,0.000589,none
1.0,0.996062,A12
0.99693,0.891483,A07
1e-06,3e-06,none
0.002603,6.6e-05,A19
0.946017,0.307165,A19
0.991378,0.744171,A16
0.999959,0.996062,A16
0.998519,0.944615,A07
0.999999,0.996062,A16
5.7e-05,3e-06,none
0.000161,4e-06,none
0.002021,5.1e-05,A19
0.999957,0.996062,A15
1.0,0.996062,A12
0.028759,0.000749,A17
0.999919,0.996062,A10
0.999998,0.996062,A09
0.999997,0.996062,A14
0.999996,0.996062,A16
0.895909,0.178811,A08
0.987721,0.670506,A08
5e-06,3e-06,none
0.998143,0.931484,A10
5.3e-05,3e-06,none
1.0,0.996062,A13
6.3e-05,3e-06,none
0.999995,0.996062,A07
1.0,0.996062,A12
0.001043,2.6e-05,A18
0.986774,0.653684,A10
0.999987,0.996062,A08
0.999928,0.996062,A14
1.0,0.996062,A09
2.1e-05,3e-06,A17
0.164125,0.004943,A18
2e-05,3e-06,A17
1.0,0.996062,A07
1.3e-05,3e-06,A17
0.003489,8.9e-05,A19
0.000312,8e-06,A17
0.070543,0.001916,A16
0.992543,0.771032,A13
1.0,0.996062,A09
0.978557,0.535859,A15
0.000406,1e-05,none
0.001946,4.9e-05,A19
0.999184,0.968731,A07
1.0,0.996062,A09
0.996854,0.889093,A07
0.994188,0.812301,A13
0.993332,0.790313,A14
0.999125,0.966548,A15
0.999929,0.996062,A07
0.992226,0.763545,A07
1.0,0.996062,A12
0.999395,0.976626,A11
0.000714,1.8e-05,none
0.0,3e-06,none
0.060148,0.001616,A18
0.989282,0.700159,A07
0.999961,0.996062,A15
0.999998,0.996062,A13
0.99999,0.996062,A11
0.000188,5e-06,A17
0.999991,0.996062,A08
5e-06,3e-06,none
0.088383,0.002447,A18
1.0,0.996062,A12
4.3e-05,3e-06,none
0.000178,5e-06,none
1.0,0.996062,A12
0.999981,0.996062,A09
0.999966,0.996062,A11
0.999999,0.996062,A16
0.999681,0.987534,A07
0.998968,0.960763,A16
1.0,0.996062,A09
0.867561,0.142163,A19
1.7e-05,3e-06,none
7.8e-05,3e-06,A17
0.999905,0.996062,A07
0.798393,0.091063,A18
6e-06,3e-06,none
0.999985,0.996062,A10
0.999092,0.965326,A15
0.999902,0.996062,A16
0.099278,0.002781,A18
0.999958,0.996062,A08
0.999995,0.996062,A07
0.999775,0.991173,A08
1.0,0.996062,A12
0.999949,0.996062,A10
1.0,0.996062,A09
6e-05,3e-06,none
0.999995,0.996062,A11
0.000427,1.1e-05,none
0.000454,1.1e-05,A19
0.999554,0.982686,A15
0.894791,0.177065,A19
0.999994,0.996062,A07
0.999997,0.996062,A13
0.999023,0.96279,A15
0.999702,0.98837,A11
0.999875,0.995071,A10
0.999714,0.988826,A15
0.999987,0.996062,A16
0.99456,0.82223,A13
0.000924,2.3e-05,none
0.999998,0.996062,A08
0.999819,0.992899,A16
0.99959,0.984049,A15
0.999525,0.98156,A13
0.999648,0.986262,A15
1.0,0.996062,A09
0.560207,0.031219,none
0.999705,0.988489,A16
0.999628,0.985511,A07
0.997395,0.906424,A15
0.999494,0.980398,A10
0.999955,0.996062,A10
0.699291,0.055563,A18
0.999995,0.996062,A07
0.999954,0.996062,A11
1.0,0.996062,A09
1.0,0.996062,A09
0.892542,0.173643,A08
0.999991,0.996062,A07
0.002114,5.4e-05,A17
1.4e-05,3e-06,none
1.0,0.996062,A12
0.304817,0.010971,A18
0.999892,0.995739,A11
1.0,0.996062,A14
0.000251,6e-06,A17
0.999999,0.996062,A13
0.000114,3e-06,A17
1.0,0.996062,A12
0.999671,0.987148,A07
0.98896,0.693833,A18
0.999945,0.996062,A15
1.0,0.996062,A09
0.999944,0.996062,A14
0.999907,0.996062,A15
0.976613,0.513722,A07
0.938507,0.278557,A15
1.0,0.996062,A14
0.294719,0.010461,A13
0.999932,0.996062,A07
1.0,0.996062,A14
0.998874,0.957351,A10
0.998034,0.927754,A10
8e-05,3e-06,none
0.0,3e-06,none
0.998294,0.936727,A11
0.982834,0.591584,A15
0.999978,0.996062,A16
1.0,0.996062,A12
0.04427,0.00117,A18
3e-06,3e-06,none
0.975993,0.507028,A10
1.0,0.996062,A09
0.008187,0.000209,none
0.007901,0.000201,none
0.999197,0.969214,A15
0.884823,0.162726,A13
0.967368,0.42856,A19
0.006957,0.000177,none
0.998915,0.958845,A07
1.2e-05,3e-06,none
1.0,0.996062,A09
0.998444,0.941966,A12
0.319405,0.011733,A19
0.999965,0.996062,A08
0.999509,0.98096,A14
0.999992,0.996062,A11
0.999949,0.996062,A08
2e-06,3e-06,none
0.999541,0.982187,A15
0.000325,8e-06,A19
0.999993,0.996062,A14
0.999999,0.996062,A14
0.088927,0.002463,A18
0.998103,0.930136,A19
0.999997,0.996062,A10
0.999978,0.996062,A13
0.999916,0.996062,A15
0.999014,0.962444,A07
0.998362,0.939106,A12
2e-06,3e-06,none
0.999716,0.98889,A10
0.997831,0.920886,A08
0.000215,5e-06,A17
0.999563,0.983,A15
0.999998,0.996062,A16
3.4e-05,3e-06,none
0.000173,4e-06,none
0.999392,0.97651,A12
0.00022,6e-06,none
0.980144,0.555322,A16
5.5e-05,3e-06,none
0.990393,0.722846,A13
0.000306,8e-06,none
0.999999,0.996062,A15
1.0,0.996062,A12
1.0,0.996062,A12
1.0,0.996062,A14
0.003814,9.7e-05,A17
0.998411,0.940829,A15
0.99995,0.996062,A08
0.000566,1.4e-05,A17
0.999996,0.996062,A16
0.000206,5e-06,none
0.999629,0.985524,A12
0.999489,0.98018,A14
1.0,0.996062,A09
0.999565,0.983078,A11
0.979226,0.543906,A15
1.0,0.996062,A12
0.999893,0.995795,A08
1.0,0.996062,A09
0.999984,0.996062,A07
0.000162,4e-06,none
