p_raw,p_cal,attack
0.001022,2.6e-05,none
0.999289,0.972655,A18
0.000399,1e-05,none
1.0,0.996062,A19
0.972557,0.472733,A15
0.99977,0.990979,A10
1.0,0.996062,A12
0.993216,0.787406,A14
0.999999,0.996062,A12
0.992969,0.781313,A07
0.999947,0.996062,A19
1.0,0.996062,A09
0.992741,0.775773,A08
0.238218,0.007849,A18
1e-06,3e-06,none
0.999253,0.971285,A18
0.999896,0.995889,A08
0.999957,0.996062,A07
0.996845,0.888816,A15
0.002674,6.8e-05,A17
0.999633,0.985708,A08
0.00056,1.4e-05,A17
0.99877,0.95357,A08
0.000187,5e-06,none
2e-06,3e-06,A17
0.989927,0.713168,A07
0.999315,0.973634,A09
0.997801,0.91988,A18
0.10297,0.002896,A15
1.0,0.996062,A19
0.996458,0.876816,A13
2e-06,3e-06,none
9e-06,3e-06,none
0.994715,0.826438,A16
0.991017,0.736209,A19
0.995145,0.838344,A13
0.999942,0.996062,A11
0.920142,0.225706,A15
0.997665,0.915319,A18
0.997621,0.913847,A16
0.999884,0.995445,A09
0.999746,0.990049,A07
0.958062,0.366265,A14
1e-05,3e-06,A17
0.9494,0.321884,A19
0.005004,0.000127,A18
0.973268,0.479463,A08
0.999725,0.989246,A07
6e-06,3e-06,none
0.999947,0.996062,A14
0.999988,0.996062,A14
0.998313,0.937385,A14
0.000814,2.1e-05,A17
0.998863,0.95696,A19
1.0,0.996062,A16
0.999074,0.964658,A16
1.0,0.996062,A12
0.160781,0.004823,A16
1.0,0.996062,A09
0.998395,0.940266,A11
0.992262,0.76437,A18
0.100757,0.002827,A18
1.0,0.996062,A09
2e-06,3e-06,none
1e-06,3e-06,none
0.999999,0.996062,A14
0.999963,0.996062,A08
0.997636,0.914368,A14
0.991447,0.745724,A15
8.6e-05,3e-06,A19
0.000253,6e-06,A17
1.0,0.996062,A12
0.428828,0.01864,A15
0.99922,0.970082,A10
0.999976,0.996062,A19
0.999913,0.996062,A18
0.995919,0.860592,A13
0.915471,0.215066,A18
0.771722,0.078787,A08
1.3e-05,3e-06,none
1.0,0.996062,A12
0.999928,0.996062,A14
0.776685,0.080873,A16
0.999999,0.996062,A09
0.998809,0.954996,A16
0.994442,0.819057,A16
0.99752,0.910534,A14
0.992738,0.775695,A08
0.241237,0.007979,A13
0.999393,0.976559,A10
1.0,0.996062,A12
0.998327,0.937886,A11
2e-06,3e-06,none
0.00049,1.2e-05,A19
0.999999,0.996062,A09
0.99974,0.989836,A11
0.962336,0.39261,A10
0.900144,0.185704,A10
0.997927,0.924126,A10
0.993269,0.788735,A16
3e-06,3e-06,none
0.801684,0.09278,A15
0.999401,0.97687,A13
1.0,0.996062,A16
0.99997,0.996062,A07
0.999996,0.996062,A12
0.999997,0.996062,A12
1.0,0.996062,A07
0.999841,0.993752,A11
0.517529,0.02642,A15
0.976835,0.516169,A15
0.956818,0.359209,A19
0.999685,0.987682,A11
1.0,0.996062,A09
1.7e-05,3e-06,A17
0.999053,0.96387,A13
0.999994,0.996062,A09
0.226297,0.007345,A13
0.999999,0.996062,A19
0.999996,0.996062,A09
0.998885,0.957758,A13
0.999834,0.993492,A07
1.0,0.996062,A07
0.999918,0.996062,A11
0.999744,0.989984,A16
0.000716,1.8e-05,none
0.152169,0.00452,A15
0.265855,0.009078,A19
1.0,0.996062,A07
0.78034,0.082462,A15
0.005278,0.000134,A17
0.999992,0.996062,A19
0.999904,0.996062,A07
0.99713,0.897858,A08
0.999884,0.995426,A12
0.915457,0.215036,A13
0.9954,0.84556,A14
0.991849,0.754817,A08
0.999543,0.982251,A07
0.901951,0.188787,A15
0.999243,0.970913,A11
0.999998,0.996062,A07
0.999996,0.996062,A13
0.999956,0.996062,A16
0.999998,0.996062,A16
0.999826,0.993178,A17
0.999995,0.996062,A13
0.999799,0.992133,A14
0.99991,0.996062,A16
0.999937,0.996062,A14
0.999981,0.996062,A12
5.8e-05,3e-06,none
0.999987,0.996062,A07
0.99945,0.978707,A14
0.999284,0.972452,A16
0.623354,0.040187,A15
0.998078,0.929269,A08
0.988889,0.692469,A18
0.998851,0.956493,A10
5e-06,3e-06,none
0.999995,0.996062,A12
0.999321,0.973831,A14
0.998879,0.957538,A14
0.210114,0.006685,A16
0.996738,0.885449,A13
0.961421,0.386676,A14
0.604896,0.037288,none
0.99987,0.99488,A11
2.8e-05,3e-06,none
0.99975,0.990202,A16
0.999569,0.983228,A16
0.999957,0.996062,A13
0.001597,4e-05,A18
5e-06,3e-06,none
0.999678,0.987433,A07
0.999989,0.996062,A18
0.999434,0.978098,A16
0.99969,0.987893,A10
0.999842,0.993785,A10
0.999189,0.9689,A10
0.999633,0.985703,A10
0.99993,0.996062,A13
0.995649,0.852704,A10
0.932728,0.25968,A08
0.001757,4.5e-05,none
0.015725,0.000404,A08
0.647329,0.044375,A08
3e-06,3e-06,A17
1.5e-05,3e-06,none
0.000789,2e-05,A17
0.999935,0.996062,A12
0.999702,0.98837,A14
0.999996,0.996062,A12
0.995073,0.836306,A15
0.999956,0.996062,A12
0.999481,0.979879,A13
0.998975,0.961016,A08
0.945753,0.306069,A08
0.763441,0.075483,A16
0.998597,0.947386,A15
0.999846,0.993929,A08
0.000214,5e-06,A17
0.014621,0.000375,A17
0.999621,0.985245,A11
0.00109,2.8e-05,A17
0.996314,0.872433,A14
0.999931,0.996062,A07
0.997924,0.924017,A10
0.999746,0.990049,A11
1e-06,3e-06,none
0.999354,0.975101,A15
0.99868,0.950334,A11
0.996534,0.879122,A14
0.240423,0.007944,A15
1.4e-05,3e-06,none
0.0,3e-06,none
0.999996,0.996062,A09
0.998672,0.950054,A10
0.999997,0.996062,A16
1e-06,3e-06,none
0.99998,0.996062,A07
1.0,0.996062,A09
9.5e-05,3e-06,A17
0.004942,0.000126,none
0.999888,0.99559,A08
0.999303,0.973174,A11
0.952064,0.334424,A13
0.988503,0.685051,A18
0.999079,0.964842,A19
2.4e-05,3e-06,A17
1.0,0.996062,A12
0.993394,0.791852,A13
9.9e-05,3e-06,A17
0.816891,0.101417,A18
0.999367,0.975572,A12
0.001704,4.3e-05,none
0.999662,0.986795,A11
0.391946,0.016046,A18
0.003681,9.3e-05,none
0.999616,0.985025,A10
0.999982,0.996062,A16
0.998988,0.961485,A10
0.002089,5.3e-05,A18
0.962347,0.392686,A10
1.0,0.996062,A09
1.0,0.996062,A16
0.999998,0.996062,A12
0.999342,0.974626,A13
0.999985,0.996062,A09
0.849247,0.12474,A15
0.996145,0.867319,A10
0.977904,0.528222,A18
0.997333,0.904412,A10
0.999995,0.996062,A13
0.999732,0.989513,A07
0.998578,0.94671,A11
0.995674,0.85342,A10
0.999996,0.996062,A09
1.0,0.996062,A14
0.948501,0.317848,A18
1.0,0.996062,A09
0.000139,4e-06,none
0.999605,0.98463,A11
0.998453,0.942295,A11
1.0,0.996062,A09
1.0,0.996062,A09
0.999998,0.996062,A16
0.294272,0.010439,A17
0.999986,0.996062,A14
0.00141,3.6e-05,A17
0.542577,0.029134,A18
0.999869,0.994838,A12
6e-06,3e-06,A17
0.999999,0.996062,A12
0.999227,0.970344,A16
0.997067,0.895837,A10
0.991861,0.755077,A12
0.972098,0.468485,A07
0.999958,0.996062,A14
0.999773,0.991108,A18
0.035593,0.000933,A08
1.0,0.996062,A12
3e-06,3e-06,none
0.801995,0.092945,A16
0.990943,0.734612,A07
0.992722,0.775313,A11
0.99819,0.933127,A16
0.998565,0.946267,A10
0.999538,0.982051,A19
0.999995,0.996062,A14
0.999833,0.993455,A10
0.999542,0.982206,A11
1.0,0.996062,A09
0.00988,0.000252,A17
0.998719,0.951729,A07
0.018823,0.000485,A19
0.007061,0.00018,none
0.007589,0.000193,A17
0.999277,0.972207,A16
0.999967,0.996062,A16
3e-06,3e-06,none
0.096489,0.002694,A08
0.001638,4.1e-05,A17
0.190969,0.005936,A16
2e-06,3e-06,none
0.999106,0.965843,A10
0.999862,0.994582,A15
0.988932,0.6933,A16
0.987425,0.665162,A16
0.945009,0.303017,A19
0.995868,0.859098,A19
1e-06,3e-06,none
0.999997,0.996062,A19
0.0,3e-06,none
0.861619,0.136085,A08
0.931552,0.256122,A08
0.99985,0.994092,A11
0.994443,0.819067,A10
0.471063,0.022034,A10
0.999996,0.996062,A09
0.999056,0.963988,A07
0.999964,0.996062,A14
0.999995,0.996062,A12
6e-05,3e-06,none
0.999986,0.996062,A07
0.554408,0.030516,A13
0.93905,0.28046,A15
3e-06,3e-06,none
0.999798,0.992068,A14
1.0,0.996062,A12
0.996524,0.878838,A10
6.9e-05,3e-06,A17
0.003982,0.000101,none
0.832538,0.111721,A15
0.999993,0.996062,A16
1.0,0.996062,A12
0.999963,0.996062,A09
0.921968,0.230124,A10
0.999879,0.995239,A11
0.004469,0.000114,none
0.930672,0.253518,A14
0.99999,0.996062,A12
8e-06,3e-06,none
1.0,0.996062,A09
1.0,0.996062,A14
1e-06,3e-06,none
0.273635,0.009441,A13
1.0,0.996062,A09
1.0,0.996062,A12
0.497462,0.024431,A13
0.999988,0.996062,A14
0.934008,0.263657,A08
0.999863,0.994596,A07
1.0,0.996062,A07
1.0,0.996062,A12
0.99999,0.996062,A19
3.7e-05,3e-06,none
0.815742,0.100721,A16
0.999354,0.975074,A16
0.997966,0.925457,A07
0.993814,0.802555,A07
0.998774,0.953733,A11
0.960252,0.379339,A15
0.999979,0.996062,A19
0.820878,0.103894,A16
0.999995,0.996062,A09
0.999241,0.970864,A10
0.998527,0.944909,A11
0.99984,0.993724,A09
0.999981,0.996062,A07
0.860879,0.135359,A11
0.8463,0.122267,A18
0.000861,2.2e-05,A17
0.970362,0.453038,A13
0.975766,0.50462,A12
0.9955,0.848409,A07
0.999854,0.994265,A10
1.0,0.996062,A09
0.95016,0.325372,A18
0.999999,0.996062,A18
0.997653,0.914932,A14
1.0,0.996062,A09
0.998811,0.955065,A11
0.999906,0.996062,A07
1.0,0.996062,A07
0.45835,0.020959,A13
0.948427,0.317522,A13
0.999982,0.996062,A13
0.996125,0.866714,A13
0.965443,0.414105,A15
0.174077,0.005304,A18
0.999999,0.996062,A12
0.431488,0.018839,A17
0.998628,0.948487,A19
0.996016,0.863476,A19
0.999995,0.996062,A14
9e-06,3e-06,none
0.471464,0.022069,A15
0.999775,0.991196,A08
0.999998,0.996062,A14
0.999275,0.972113,A19
0.999471,0.979503,A11
0.047044,0.001247,A11
0.995334,0.843664,A13
0.994452,0.819319,A10
0.995519,0.848958,A10
0.999763,0.990724,A11
0.98192,0.578758,A13
3e-05,3e-06,none
0.997075,0.896083,A13
0.054501,0.001456,A18
0.001227,3.1e-05,A17
0.999927,0.996062,A14
0.999993,0.996062,A09
0.926892,0.242852,A11
0.99814,0.931386,A14
1.0,0.996062,A07
0.988578,0.686477,A15
0.999972,0.996062,A07
0.997089,0.896545,A10
0.99939,0.976424,A11
0.997363,0.905384,A08
0.999998,0.996062,A12
0.999466,0.979322,A11
0.930281,0.252374,A15
0.99995,0.996062,A11
0.998211,0.933846,A10
0.859933,0.134439,A16
0.99992,0.996062,A16
0.999995,0.996062,A09
0.007998,0.000204,A18
0.999892,0.995758,A10
1.0,0.996062,A16
0.938692,0.279201,A13
3.4e-05,3e-06,none
0.00017,4e-06,A17
0.174564,0.005322,A08
0.904228,0.192804,A13
0.999421,0.977617,A14
0.99977,0.990983,A16
0.999313,0.973536,A08
0.999402,0.976906,A10
9e-05,3e-06,A17
0.997764,0.91861,A18
0.999526,0.981614,A15
0.999958,0.996062,A13
1.0,0.996062,A13
1.0,0.996062,A12
0.999207,0.969596,A08
1.0,0.996062,A12
0.999978,0.996062,A13
0.999942,0.996062,A16
0.999998,0.996062,A12
0.999999,0.996062,A14
0.999968,0.996062,A16
0.997854,0.921653,A14
0.999705,0.988466,A07
0.785333,0.084712,A18
0.0,3e-06,none
0.999993,0.996062,A13
6e-06,3e-06,none
0.249852,0.008356,A15
0.000124,3e-06,none
0.999848,0.994036,A10
0.839396,0.116783,A13
0.97725,0.520778,A13
0.075072,0.002049,A15
0.999479,0.97982,A08
0.163103,0.004906,A13
4e-06,3e-06,none
0.000746,1.9e-05,none
0.999318,0.973741,A11
0.999029,0.962987,A11
1.0,0.996062,A19
9e-06,3e-06,none
1.0,0.996062,A09
0.999987,0.996062,A16
0.999812,0.992606,A14
0.000469,1.2e-05,A17
0.983516,0.601506,A08
0.000327,8e-06,none
0.999976,0.996062,A14
0.999999,0.996062,A13
0.999999,0.996062,A16
0.00015,4e-06,none
1e-06,3e-06,none
0.436945,0.019254,A18
0.999693,0.98799,A19
0.999798,0.992068,A19
0.971807,0.465821,A13
0.999995,0.996062,A11
0.999943,0.996062,A11
1.0,0.996062,A09
1.0,0.996062,A07
0.999951,0.996062,A14
0.45104,0.020363,A18
0.998885,0.957754,A08
0.0465,0.001232,A08
1.0,0.996062,A09
0.998201,0.933491,A11
0.827618,0.108306,A16
0.999995,0.996062,A14
2.8e-05,3e-06,none
0.986336,0.646159,A12
1.0,0.996062,A16
0.967798,0.431921,A10
1.0,0.996062,A12
0.997849,0.921487,A10
0.015259,0.000392,none
1.0,0.996062,A09
0.000256,6e-06,none
0.998488,0.943535,A07
0.999709,0.988637,A16
1.0,0.996062,A14
0.999982,0.996062,A09
0.027622,0.000718,A17
0.99695,0.892117,A18
0.998092,0.929733,A07
0.999547,0.982394,A08
0.002518,6.4e-05,A18
0.010979,0.000281,none
0.986534,0.649549,A10
2.5e-05,3e-06,A17
0.999218,0.970006,A10
0.999958,0.996062,A14
0.999975,0.996062,A11
3e-06,3e-06,none
0.999806,0.992397,A11
1e-06,3e-06,none
0.064882,0.001752,A13
0.996513,0.878493,A11
0.998402,0.940484,A10
0.997515,0.910351,A11
0.999808,0.992486,A11
1.0,0.996062,A09
0.977093,0.519028,A08
0.001105,2.8e-05,none
0.548952,0.02987,A18
0.999998,0.996062,A09
0.998745,0.952692,A14
0.999886,0.995515,A14
2.6e-05,3e-06,none
2.8e-05,3e-06,A17
0.999995,0.996062,A12
0.999894,0.995847,A16
0.968582,0.438179,A19
1.0,0.996062,A16
0.992792,0.777008,A11
0.999998,0.996062,A12
0.998235,0.93468,A11
0.998607,0.947759,A13
5e-06,3e-06,A17
2e-06,3e-06,A17
0.99997,0.996062,A07
0.506266,0.025285,A15
0.996968,0.892679,A16
0.999728,0.989366,A11
0.996126,0.866757,A08
0.999992,0.996062,A16
0.999995,0.996062,A09
0.102328,0.002876,A08
0.18966,0.005886,A08
0.995509,0.848677,A19
1e-05,3e-06,none
0.0,3e-06,none
0.99808,0.929327,A13
0.025522,0.000662,A17
0.998658,0.949555,A16
0.999678,0.987442,A07
0.99547,0.847545,A08
0.986652,0.651567,A08
0.999789,0.99172,A11
1.0,0.996062,A09
0.997352,0.905017,A16
0.997173,0.899226,A10
0.999999,0.996062,A14
0.983774,0.605343,A15
0.99998,0.996062,A19
0.999782,0.99146,A19
0.966601,0.422691,A08
0.194932,0.006088,A15
0.0479,0.001271,A19
1.0,0.996062,A09
0.992294,0.765127,A08
0.999973,0.996062,A11
0.994244,0.813775,A18
0.999973,0.996062,A13
0.000445,1.1e-05,none
0.998348,0.938612,A10
0.99748,0.909209,A08
0.999933,0.996062,A07
0.999993,0.996062,A12
0.999888,0.995604,A16
0.99024,0.71964,A13
0.995844,0.858409,A19
0.0,3e-06,A17
2.6e-05,3e-06,none
0.007095,0.000181,A17
0.001364,3.5e-05,A08
0.999783,0.991502,A08
0.999978,0.996062,A19
0.003369,8.6e-05,A18
0.9984,0.940429,A11
0.999948,0.996062,A19
1.0,0.996062,A09
0.999997,0.996062,A07
0.990611,0.727472,A18
0.999955,0.996062,A10
0.000772,2e-05,A17
0.999846,0.993943,A14
0.0041,0.000104,none
0.996604,0.881294,A16
0.990852,0.732643,A11
4.1e-05,3e-06,none
0.999322,0.973876,A11
0.999986,0.996062,A07
0.999937,0.996062,A16
0.999792,0.991827,A12
0.994552,0.822008,A18
0.999999,0.996062,A09
0.954876,0.348684,A19
0.999994,0.996062,A19
0.999964,0.996062,A19
1.0,0.996062,A09
1.0,0.996062,A07
0.982841,0.591681,A13
0.891108,0.17152,A19
0.798908,0.091329,A13
0.161091,0.004835,A18
5.1e-05,3e-06,A17
0.762011,0.074934,none
0.995726,0.854941,A12
4e-06,3e-06,none
0.999121,0.966407,A19
0.996117,0.866474,A16
0.999968,0.996062,A10
0.999405,0.977005,A08
0.439458,0.019448,A15
0.999991,0.996062,A19
0.999915,0.996062,A11
2.3e-05,3e-06,none
0.999942,0.996062,A14
0.999792,0.991831,A16
0.999726,0.989273,A11
0.957549,0.363323,A16
0.948784,0.319109,A16
0.99996,0.996062,A14
0.999633,0.985694,A08
0.999401,0.976856,A16
0.997362,0.905349,A15
0.933199,0.261131,A17
0.999994,0.996062,A12
0.999993,0.996062,A09
0.99959,0.984027,A11
2e-06,3e-06,A17
2e-06,3e-06,none
0.999698,0.988215,A15
0.999837,0.993585,A16
1.0,0.996062,A14
0.998813,0.955138,A14
0.999987,0.996062,A14
0.99997,0.996062,A19
0.999996,0.996062,A09
0.976209,0.509338,A18
0.999141,0.967137,A11
0.999906,0.996062,A07
1.0,0.996062,A14
0.003736,9.5e-05,A17
0.3982,0.016464,A18
6e-06,3e-06,none
0.0,3e-06,none
0.999994,0.996062,A12
0.00125,3.2e-05,A17
1.0,0.996062,A09
0.972728,0.47433,A18
0.999994,0.996062,A14
0.998344,0.938458,A12
1e-06,3e-06,none
0.000131,3e-06,none
0.999996,0.996062,A13
0.999872,0.994955,A11
0.997039,0.894954,A13
1e-06,3e-06,A17
0.991612,0.749429,A10
0.998564,0.946204,A11
1.0,0.996062,A12
1.0,0.996062,A12
0.000164,4e-06,none
0.999998,0.996062,A12
1e-05,3e-06,none
0.970104,0.450827,A16
0.082731,0.002277,A08
0.917195,0.218885,A13
0.999994,0.996062,A12
0.000233,6e-06,none
1.0,0.996062,A12
0.972261,0.469987,A07
0.0,3e-06,none
0.998807,0.95491,A19
0.999993,0.996062,A19
0.163449,0.004919,A16
0.999919,0.996062,A16
0.999407,0.977081,A07
0.999974,0.996062,A16
1.7e-05,3e-06,none
7.1e-05,3e-06,none
0.999999,0.996062,A19
0.984803,0.621134,A15
0.999999,0.996062,A12
0.001829,4.6e-05,A17
0.999493,0.980362,A10
0.999984,0.996062,A09
0.999952,0.996062,A14
0.999834,0.993482,A16
0.343553,0.013067,A08
0.899578,0.184756,A08
3e-06,3e-06,none
0.739643,0.067052,A10
7e-06,3e-06,none
0.999986,0.996062,A13
0.000124,3e-06,none
1.0,0.996062,A07
0.999989,0.996062,A12
0.492393,0.023953,A18
0.998592,0.94722,A10
0.995571,0.850465,A08
0.999873,0.994987,A14
1.0,0.996062,A09
0.003958,0.000101,A17
0.797246,0.090477,A18
0.001923,4.9e-05,A17
0.999999,0.996062,A07
9e-06,3e-06,A17
0.153808,0.004577,A19
0.000138,4e-06,A17
0.999993,0.996062,A16
0.58512,0.034451,A13
1.0,0.996062,A09
0.914386,0.212721,A15
0.000442,1.1e-05,none
0.999942,0.996062,A19
0.992789,0.776934,A07
1.0,0.996062,A09
0.999857,0.994372,A07
0.934977,0.26674,A13
0.963278,0.398903,A14
0.985229,0.627892,A15
0.999997,0.996062,A07
0.999942,0.996062,A07
0.999999,0.996062,A12
0.999367,0.975581,A11
2.4e-05,3e-06,none
0.0,3e-06,none
0.998321,0.937661,A18
1.0,0.996062,A07
0.995739,0.85532,A15
0.999912,0.996062,A13
0.999618,0.985112,A11
0.000866,2.2e-05,A17
0.994781,0.828254,A08
3e-06,3e-06,none
0.071025,0.00193,A18
1.0,0.996062,A12
6e-06,3e-06,none
0.000329,8e-06,none
0.999983,0.996062,A12
0.999991,0.996062,A09
0.999951,0.996062,A11
0.999999,0.996062,A16
0.998826,0.955614,A07
0.988396,0.683029,A16
1.0,0.996062,A09
1.0,0.996062,A19
1.8e-05,3e-06,none
6e-06,3e-06,A17
0.999978,0.996062,A07
0.997183,0.899551,A18
1.1e-05,3e-06,none
0.999585,0.983858,A10
0.926839,0.24271,A15
0.999997,0.996062,A16
0.50505,0.025165,A18
0.998364,0.939177,A08
0.999998,0.996062,A07
0.982164,0.582129,A08
1.0,0.996062,A12
0.999591,0.9841,A10
1.0,0.996062,A09
3.7e-05,3e-06,none
0.99956,0.982905,A11
2e-06,3e-06,none
0.113228,0.00322,A19
0.389449,0.015881,A15
0.999779,0.991345,A19
0.999996,0.996062,A07
0.956428,0.357047,A13
0.974484,0.491403,A15
0.920516,0.226599,A11
0.998877,0.957468,A10
0.979069,0.541993,A15
0.999908,0.996062,A16
0.958257,0.367396,A13
0.000458,1.2e-05,none
0.997256,0.901898,A08
1.0,0.996062,A16
0.782004,0.083202,A15
0.81686,0.101398,A13
0.949342,0.321623,A15
0.999996,0.996062,A09
0.000603,1.5e-05,none
0.998842,0.956193,A16
0.999272,0.97202,A07
0.125439,0.003616,A15
0.999433,0.978048,A10
0.947935,0.315355,A10
0.963117,0.397818,A18
0.999997,0.996062,A07
0.99857,0.946439,A11
1.0,0.996062,A09
1.0,0.996062,A09
0.400814,0.016642,A08
0.999998,0.996062,A07
0.000254,6e-06,A17
1e-06,3e-06,none
0.999998,0.996062,A12
0.563214,0.031591,A18
0.999992,0.996062,A11
1.0,0.996062,A14
4.5e-05,3e-06,A17
0.999963,0.996062,A13
2.8e-05,3e-06,A17
0.999998,0.996062,A12
1.0,0.996062,A07
0.999793,0.991887,A18
0.991043,0.736792,A15
1.0,0.996062,A09
0.99992,0.996062,A14
0.906079,0.196183,A15
0.997731,0.917523,A07
0.685493,0.052259,A15
0.999946,0.996062,A14
0.007511,0.000191,A13
0.999465,0.979268,A07
1.0,0.996062,A14
0.997528,0.910801,A10
0.997344,0.904755,A10
2.2e-05,3e-06,none
0.0,3e-06,none
0.995677,0.853524,A11
0.750335,0.07066,A15
0.99882,0.955382,A16
1.0,0.996062,A12
0.579156,0.033644,A18
2e-06,3e-06,none
0.981755,0.576509,A10
1.0,0.996062,A09
0.002873,7.3e-05,none
0.002159,5.5e-05,none
0.032676,0.000854,A15
0.95423,0.345311,A13
0.847824,0.123536,A19
1.8e-05,3e-06,none
0.998539,0.945343,A07
0.000117,3e-06,none
1.0,0.996062,A09
0.982527,0.587214,A12
0.980972,0.566014,A19
0.98356,0.602153,A08
0.996934,0.891606,A14
0.999958,0.996062,A11
0.98797,0.675082,A08
8e-06,3e-06,none
0.976946,0.517392,A15
0.504362,0.025098,A19
0.999306,0.97329,A14
0.999997,0.996062,A14
0.905428,0.194983,A18
0.999999,0.996062,A19
0.999909,0.996062,A10
0.99763,0.914166,A13
0.972788,0.474902,A15
0.998914,0.958788,A07
0.997101,0.896919,A12
0.0,3e-06,none
0.998948,0.960025,A10
0.702136,0.056279,A08
1.6e-05,3e-06,A17
0.98771,0.670321,A15
0.999962,0.996062,A16
8e-06,3e-06,none
2e-05,3e-06,none
0.996081,0.865425,A12
5.5e-05,3e-06,none
0.998096,0.929893,A16
6.9e-05,3e-06,none
0.999264,0.971717,A13
1.8e-05,3e-06,none
0.999705,0.988453,A15
1.0,0.996062,A12
0.999996,0.996062,A12
1.0,0.996062,A14
0.01163,0.000298,A17
0.998064,0.928794,A15
0.99675,0.885816,A08
7.6e-05,3e-06,A17
0.999986,0.996062,A16
0.000173,4e-06,none
0.999402,0.976906,A12
0.999753,0.990345,A14
1.0,0.996062,A09
0.995608,0.85151,A11
0.90213,0.189098,A15
0.999972,0.996062,A12
0.999994,0.996062,A08
1.0,0.996062,A09
0.999982,0.996062,A07
1e-05,3e-06,none
